3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0

3	1	1053	2147
4	1	797	1210
5	1	619	842
6	1	561	699
7	1	455	557
8	1	379	461
9	1	382	399
10	1	308	371
11	1	309	341
12	1	254	307
13	1	259	260
14	1	233	239
15	1	199	244
16	1	184	214
17	1	208	214
18	1	180	180
19	1	183	198
20	1	179	178

4	2	1596	2433
5	2	1249	1754
6	2	1073	1352
7	2	916	1090
8	2	821	902
9	2	707	753
10	2	667	692
11	2	576	605
12	2	545	570
13	2	499	525
14	2	434	535
15	2	437	461
16	2	387	411
17	2	402	417
18	2	335	368
19	2	377	342
20	2	335	336

5	3	1940	2520
6	3	1599	2004
7	3	1349	1668
8	3	1164	1398
9	3	1092	1244
10	3	1007	1099
11	3	853	982
12	3	841	859
13	3	722	815
14	3	671	685
15	3	663	675
16	3	569	656
17	3	562	583
18	3	559	605
19	3	510	547
20	3	476	494

6	4	2120	2652
7	4	1832	2215
8	4	1547	1887
9	4	1419	1626
10	4	1305	1435
11	4	1158	1247
12	4	1064	1161
13	4	1006	1059
14	4	924	1022
15	4	904	937
16	4	805	827
17	4	813	837
18	4	682	806
19	4	674	666
20	4	652	669

7	5	2283	2761
8	5	2024	2341
9	5	1770	2083
10	5	1586	1815
11	5	1510	1648
12	5	1347	1445
13	5	1216	1339
14	5	1119	1254
15	5	1094	1185
16	5	978	1077
17	5	924	1005
18	5	917	919
19	5	860	902
20	5	792	874

8	6	2381	2802
9	6	2119	2434
10	6	1939	2107
11	6	1740	1984
12	6	1566	1775
13	6	1496	1628
14	6	1354	1506
15	6	1291	1384
16	6	1192	1298
17	6	1157	1208
18	6	1092	1084
19	6	1013	1064
20	6	986	998

9	7	2484	2851
10	7	2237	2526
11	7	2092	2315
12	7	1906	2076
13	7	1679	1889
14	7	1635	1690
15	7	1496	1605
16	7	1406	1527
17	7	1266	1403
18	7	1212	1298
19	7	1152	1240
20	7	1117	1205

10	8	2564	2882
11	8	2315	2592
12	8	2134	2344
13	8	1937	2135
14	8	1838	1992
15	8	1687	1838
16	8	1626	1686
17	8	1480	1578
18	8	1446	1479
19	8	1343	1417
20	8	1284	1366

11	9	2615	2894
12	9	2369	2683
13	9	2232	2419
14	9	2080	2242
15	9	1895	2119
16	9	1806	1997
17	9	1682	1782
18	9	1598	1708
19	9	1511	1621
20	9	1405	1509

12	10	2652	2928
13	10	2525	2674
14	10	2301	2463
15	10	2141	2275
16	10	2029	2144
17	10	1874	2007
18	10	1783	1892
19	10	1696	1781
20	10	1604	1702

13	11	2715	2929
14	11	2526	2741
15	11	2314	2529
16	11	2192	2375
17	11	2084	2188
18	11	1984	2073
19	11	1867	1967
20	11	1731	1850

14	12	2751	2965
15	12	2583	2745
16	12	2426	2574
17	12	2241	2397
18	12	2113	2297
19	12	2008	2111
20	12	1974	1992

15	13	2748	2983
16	13	2591	2795
17	13	2449	2613
18	13	2293	2466
19	13	2170	2372
20	13	2089	2139

16	14	2820	3004
17	14	2643	2798
18	14	2446	2659
19	14	2336	2485
20	14	2241	2340

17	15	2819	3010
18	15	2695	2824
19	15	2544	2647
20	15	2421	2526

18	16	2891	3041
19	16	2687	2843
20	16	2577	2704

19	17	2859	3018
20	17	2745	2845

20	18	2894	3017

