3	0	0	0
3	1	1053	2147

4	0	0	0
4	1	797	1210
4	2	1596	2433

5	0	0	0
5	1	619	842
5	2	1249	1754
5	3	1940	2520

6	0	0	0
6	1	561	699
6	2	1073	1352
6	3	1599	2004
6	4	2120	2652

7	0	0	0
7	1	455	557
7	2	916	1090
7	3	1349	1668
7	4	1832	2215
7	5	2283	2761

8	0	0	0
8	1	379	461
8	2	821	902
8	3	1164	1398
8	4	1547	1887
8	5	2024	2341
8	6	2381	2802

9	0	0	0
9	1	382	399
9	2	707	753
9	3	1092	1244
9	4	1419	1626
9	5	1770	2083
9	6	2119	2434
9	7	2484	2851

10	0	0	0
10	1	308	371
10	2	667	692
10	3	1007	1099
10	4	1305	1435
10	5	1586	1815
10	6	1939	2107
10	7	2237	2526
10	8	2564	2882

11	0	0	0
11	1	309	341
11	2	576	605
11	3	853	982
11	4	1158	1247
11	5	1510	1648
11	6	1740	1984
11	7	2092	2315
11	8	2315	2592
11	9	2615	2894

12	0	0	0
12	1	254	307
12	2	545	570
12	3	841	859
12	4	1064	1161
12	5	1347	1445
12	6	1566	1775
12	7	1906	2076
12	8	2134	2344
12	9	2369	2683
12	10	2652	2928

13	0	0	0
13	1	259	260
13	2	499	525
13	3	722	815
13	4	1006	1059
13	5	1216	1339
13	6	1496	1628
13	7	1679	1889
13	8	1937	2135
13	9	2232	2419
13	10	2525	2674
13	11	2715	2929

14	0	0	0
14	1	233	239
14	2	434	535
14	3	671	685
14	4	924	1022
14	5	1119	1254
14	6	1354	1506
14	7	1635	1690
14	8	1838	1992
14	9	2080	2242
14	10	2301	2463
14	11	2526	2741
14	12	2751	2965

15	0	0	0
15	1	199	244
15	2	437	461
15	3	663	675
15	4	904	937
15	5	1094	1185
15	6	1291	1384
15	7	1496	1605
15	8	1687	1838
15	9	1895	2119
15	10	2141	2275
15	11	2314	2529
15	12	2583	2745
15	13	2748	2983

16	0	0	0
16	1	184	214
16	2	387	411
16	3	569	656
16	4	805	827
16	5	978	1077
16	6	1192	1298
16	7	1406	1527
16	8	1626	1686
16	9	1806	1997
16	10	2029	2144
16	11	2192	2375
16	12	2426	2574
16	13	2591	2795
16	14	2820	3004

17	0	0	0
17	1	208	214
17	2	402	417
17	3	562	583
17	4	813	837
17	5	924	1005
17	6	1157	1208
17	7	1266	1403
17	8	1480	1578
17	9	1682	1782
17	10	1874	2007
17	11	2084	2188
17	12	2241	2397
17	13	2449	2613
17	14	2643	2798
17	15	2819	3010

18	0	0	0
18	1	180	180
18	2	335	368
18	3	559	605
18	4	682	806
18	5	917	919
18	6	1092	1084
18	7	1212	1298
18	8	1446	1479
18	9	1598	1708
18	10	1783	1892
18	11	1984	2073
18	12	2113	2297
18	13	2293	2466
18	14	2446	2659
18	15	2695	2824
18	16	2891	3041

19	0	0	0
19	1	183	198
19	2	377	342
19	3	510	547
19	4	674	666
19	5	860	902
19	6	1013	1064
19	7	1152	1240
19	8	1343	1417
19	9	1511	1621
19	10	1696	1781
19	11	1867	1967
19	12	2008	2111
19	13	2170	2372
19	14	2336	2485
19	15	2544	2647
19	16	2687	2843
19	17	2859	3018

20	0	0	0
20	1	179	178
20	2	335	336
20	3	476	494
20	4	652	669
20	5	792	874
20	6	986	998
20	7	1117	1205
20	8	1284	1366
20	9	1405	1509
20	10	1604	1702
20	11	1731	1850
20	12	1974	1992
20	13	2089	2139
20	14	2241	2340
20	15	2421	2526
20	16	2577	2704
20	17	2745	2845
20	18	2894	3017

